user_id,simple_status,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,result,lsat,softs,urm,non_trad,gpa,years_out,is_military,is_character_and_fitness_issues,school_name,cycle,decision,color,marker,splits
45784,Accepted,2019-01-13,2019-02-04,2019-02-04,,,,2019-03-08,Accepted,164.0,,True,False,3.9,,,,University of Chicago,19,A,green,triangle-se,green
45784,Accepted,2019-01-13,2019-01-14,2019-01-28,,,,2019-03-18,Accepted,164.0,,True,False,3.9,,,,Northwestern University,19,A,green,triangle-se,green
45785,Accepted,2018-11-03,2018-11-05,2018-11-13,,,,2019-01-18,Accepted,165.0,,True,False,3.75,0.0,,,Columbia University,19,A,green,triangle-se,green
45785,Accepted,2018-11-23,2018-11-24,2018-11-24,,,,2019-01-09,Accepted,165.0,,True,False,3.75,0.0,,,New York University,19,A,green,triangle-se,green
45786,Accepted,2018-12-22,,,,,,2019-01-18,Accepted,163.0,,False,False,3.72,1.0,,,University of Virginia,19,A,green,triangle-se,green
45786,Rejected,2019-01-05,,,,,,2019-02-22,Rejected,163.0,,False,False,3.72,1.0,,,University of California—Berkeley,19,R,red,triangle-se,red
45786,Pending,2018-12-31,,,,,,2019-01-22,Pending,163.0,,False,False,3.72,1.0,,,University of Pennsylvania,19,P,black,triangle-se,
45787,Rejected,2018-09-23,,,,,,2019-01-14,Rejected,169.0,,False,False,3.67,1.0,,,University of Michigan,19,R,red,triangle-se,red
45787,Waitlisted,2018-09-25,,2018-09-26,,,,2019-04-04,Waitlisted,169.0,,False,False,3.67,1.0,,,University of California—Berkeley,19,WL,orange,triangle-se,orange
45787,Waitlisted,2018-09-23,,,,,,2019-02-20,Waitlisted,169.0,,False,False,3.67,1.0,,,Northwestern University,19,WL,orange,triangle-se,orange
45787,Waitlisted,2018-09-15,,2018-09-17,,,,2019-04-02,Waitlisted,169.0,,False,False,3.67,1.0,,,University of Virginia,19,WL,orange,triangle-se,orange
45787,Rejected,2018-12-14,,,,,,2019-04-25,Rejected,169.0,,False,False,3.67,1.0,,,New York University,19,R,red,triangle-se,red
45787,Waitlisted,2018-10-02,,,,,,2019-01-24,Waitlisted,169.0,,False,False,3.67,1.0,,,University of Pennsylvania,19,WL,orange,triangle-se,orange
45790,Waitlisted,2018-09-26,2018-09-26,2018-09-28,,,,2019-01-24,Waitlisted,172.0,,False,False,3.8,0.0,,,University of Pennsylvania,19,WL,orange,triangle-se,orange
45792,Accepted,2018-11-21,,,,,,2019-01-03,Accepted,165.0,,False,False,3.5,0.0,,,University of Michigan,19,A,green,triangle-se,green
45792,Waitlisted,2018-11-21,,2018-11-26,,,,2019-02-20,Waitlisted,165.0,,False,False,3.5,0.0,,,Northwestern University,19,WL,orange,triangle-se,orange
45792,Rejected,2018-11-21,,2018-11-28,,,,2019-02-13,Rejected,165.0,,False,False,3.5,0.0,,,University of Pennsylvania,19,R,red,triangle-se,red
45792,Rejected,2018-11-21,,2018-11-30,,,,2019-02-15,Rejected,165.0,,False,False,3.5,0.0,,,University of Chicago,19,R,red,triangle-se,red
45816,Accepted,2018-11-06,2018-11-07,2018-11-13,,,,2019-01-15,Accepted,172.0,,False,False,3.9,1.0,,,Columbia University,19,A,green,triangle-se,green
45816,Waitlisted,2018-10-30,2018-10-30,2018-11-08,,,,2019-01-18,Waitlisted,172.0,,False,False,3.9,1.0,,,University of Chicago,19,WL,orange,triangle-se,orange
45836,Accepted,2018-11-11,,2018-11-14,,,,2019-01-08,Accepted,175.0,,False,False,3.99,0.0,,,Yale University,19,A,green,triangle-se,green
45843,Waitlisted,2018-12-14,2018-12-15,2018-12-20,,,,2019-04-28,Waitlisted,172.0,,False,True,3.53,5.0,,,New York University,19,WL,orange,triangle-se,orange
45843,Waitlisted,2018-12-14,2018-12-17,2019-01-07,,,,2019-03-26,Waitlisted,172.0,,False,True,3.53,5.0,,,Northwestern University,19,WL,orange,triangle-se,blue
45843,Rejected,2018-12-30,2018-12-31,2019-01-17,,,,2019-03-22,Rejected,172.0,,False,True,3.53,5.0,,,Stanford University,19,R,red,triangle-se,red
45843,Waitlisted,2018-12-17,2018-12-18,2019-01-17,,,,2019-03-01,Waitlisted,172.0,,False,True,3.53,5.0,,,University of Michigan,19,WL,orange,triangle-se,blue
45843,Rejected,2018-12-17,2018-12-18,2019-01-10,,,,2019-02-19,Rejected,172.0,,False,True,3.53,5.0,,,Harvard University,19,R,red,triangle-se,red
